,Unnamed: 0,document,summary
258,258,high blood pressure i know you may not answer this but my blood pressure comes up at night when i am asleep i take four medicines i have asked doctors why this happens and no one knows this morning at four a i it was and i took a clon ine to help get it done it worries me so,what causes a rise in blood pressure when asleep 
259,259,customer service request i am looking for a company research facility that can do genetic testing on the gut group of genes does such a place exist how would i go about getting this type of testing done,where can i find information on genetic testing for ugt abnormalities 
260,260,heritage angioedema injecting white bloods cells into a person with this issue help,what are the treatments for hereditary angioedema 
261,261,clinicaltrials gov question general information a friend had chemo for breast cancer she has developed a foam in her mouth that appears to come from her gums she has been to every doctor but no one can diagnose she has tried everything recommended and nothing seems to work she has gone into a deep depression because of this constant foam would there be any studies available could someone give an ea of what could be causing this problem in her mouth is there any interest of looking into her case thank you,what causes foamy saliva 
262,262,i had my house sprayed to eradicate crickets and so ers i immediately started feeling very ill i had a very tight chest racing heart pulse terrible tiredness and sore throat and very sore red eyes that was over a month ago i still have a very sore throat bad chest and sore eyes is it possible that the spray is still giving off a harmful effect in my home every day i find masses of dead crickets and an assortment of flying insects lying all over my house,how long will an insecticide application last in the house 
263,263,i need help dear sir i need your help i am i have some question to ask you my uncle a heart problem due to a gastro problem and bleeding from the intestinal the doctor says he is an handicap person now he is a little bit ok it i just that he is suffering from his belly a lot but he is stop bleeding from ins e he often have breath problem also i give him sometimes ventoline spray we don i know what we treatment we should give him please i need your help thank you in advance sir best regards,what are the treatments for breathing difficulties 
264,264,before i get married can this help when i marry the girl i with in vitro her family has something called pheochromocytoma paraganglioma only her brother and father have it she is just a carrier will you think in vitro might prevent it if we have i i,how is pheochromocytoma paraganglioma inherited 
265,265,eye muscle surgery as a result fo a fbi cycling acc ent i had surgery on the muscles of two eyes as a result of a cycling acc ent in in resulted in hospitalized care for i traumatic brain injury my eyes were given a year to heal but some double vision occurred and my vision was off center recovery amazing but eyes were a problem double vision surgery days ago may getting mixed opinions on when to go back to sports cycling lifting small weights is it week weeks or weeks of doing nothing,when can i resume exercising after eye muscle surgery 
266,266,what if someone throw up blood just a little got a little light headed and just la down and went to sleep they sa they will sleep it off but i want to take they sa i i fine what should i do,should someone who vomited blood and felt lightheaded go to sleep 
267,267,i have been dealing with an autoimmune disease for almost years now i ve been tested for many things and the doctors can i seem to find what excactly is wrong it began with pain swelling and stiffness in my feet and toes a lot of the pain is joint stiff i ess and my skin feels like its being burned over time it has moved into my knees also i am always tired recently i ve been getting pains in my stomache and feeling sick does any of this sound like lupus i ve tested negative for it before but the more i read about it i feel that i what i could have any eas would be greatly appreciated,what are the symptoms of lupus 
268,268,hello medineplus i am a student an i am suffering from muscular dystrophy i just want to know that is muscular dystrophy belongs to locomotion disability thanks yours sincerely,what is a locomotor disability and is it related to muscular dystrophy 
269,269,its normal to expect ballot fingers to heal bent at canada,what are the treatments and prognosis for mallet fingers 
270,270,res have a month old baby hi everyone i am a mum of months old boy who was diagnosed with cerebral palsy hypomania photonic form in relation with pollster killian syndrome also he has got mixed form of hydrocephalus there is no epiactivity our neurologist has suggested to go through volta method boat therapy please could you let me know your experience with these methods if any i will be very grateful for any info about it as i do to have enough information to operate with also any thoughts about transcranial direct current stimulation occupational therapy or feldenkrais please please please if you can share your experience it would be absolutely priceless thank you in advance best regards,where can i find information on treatments for cerebral palsy and specifically the vojta method and bobath therapy 
271,271,do shrimp allergies subs e over time i used to eat shrimp all the time but suddenly developed an allergy to it when i turned i went to an allergist and i definitely tested positive for shrimp allergy all other shellfish like lobster crab etc oddly was negative are food allergies that develop later in life like this known to disappear over time i i just wondering if there i a safe way to test it if i i too lazy poor to go see an allergist again it i been years since i was diagnosed i i not asking for a recommendation to my personal case but was just wondering the answer to my first question above thanks,is it possible for a shrimp allergy to go away 
272,272,blood pressure take blood pressure med atenolol my blood pressure running he most of the time lower in the upper to i i my doc is not in for day i what can i do to raise it i am on anxiety pain muscle relaxers for a medical condition in my neck and legs that i can i have surgery on again please how do i get my pressure back up until i can get to my doctor i am so tired and can i get i of the headache,what are the treatments for low blood pressure 
273,273,four years back my ankle had hit by the stone and there is small reddish pot from ins e the ankle due to which i can i walk properly and it pains and even gets swollen once i start walking is this pain temporary or life long or it will never get heel forever what type of pain is this what treatment would you suggest me,what are the causes and treatments for ankle swelling and pain 
274,274,customer service request dear sir madame i have a rare genetic disease called pall o onto nigra degeneration which is caused by an i i mutation on econ chromosome and i was wondering if gene therapy could be an option for me please email me at to let me know thank you,is gene therapy available for pallido ponto nigral degeneration 
275,275,if a yo male patient has a level of cobalt or chromium over the highest acceptable level can that possibly create blood in urine thank you,what are the causes of blood in the urine 
276,276,azithromycin oral suspension stability stor i am a pharmacy technician and i work at an in patient pharmacy we carry azithomycin my my oral suspension we have been having some technicians putting the reconstituted suspension into our for ge our for ge is kept at a pretty steady celsius temperature i know that the lower range of the stability is at i is it a problem to keep it that cold should the suspension be kept out of the for ge,how should azithomycin oral suspension be stored 
277,277,administration is there a reason that the loveyou has to be given in the so of the abdomen why not other so sites,why is lovenox administered in the abdomen 
278,278,childhood suffers of lead poisoning as adults hi my is i when i was three years old i suffered from mild moderate lead paint poisoning i i now years old and looking for ways to treat the long term symptoms that originated with the lead exposure,what are the long term effects of lead poisoning and how can they be treated 
279,279,clinicaltrials gov question general information i am writing on behalf of my friend that is reading us in copy but doesn i speak english as good as me his is he was born in italy on he lives in milan italy he is affected by hav genotype iii with a cirrhosis of the liver in evolution and his present desease does not permit to be attack by regular medicines therapies platelet minus of he has a prescription for soldi treatment from an italian doctor and he is ready to come to us or other country to get it also from an american doctor but the cost of such treatment is impossible for him in italy the medicine is not available he is followed by one of the top italian hospital his doctor is that is ready to talk with you whenever needed suggested by his doctor is interested to become one of your patient as a case study would like to enter into the research trial program in with you in order not to pay the cost of soldi that he cannot afford according to his doctor his treatment should go on for month with a conjunction of soldi and ribavirin all my info you can find them below and for the email is the one in copy you can send both to me directly and ca him or viceversa anyhow i will have to make the translation in case hopefully not the treatment will not work he is ready to change treatment with eventually other new products you are testing and or new association looking forward in hearing from you soon sincerely,are there clinical trials for patients with hepatitis c genotype a 
280,280,ep mis why does it hurt when if i don i finish my ejaculation or when i use the restroom and take a stool or leave a stool which ever it is my balls sometimes hurt,what are the causes of testicular pain 
281,281,dressings my dad had some skin cancer removed was ago and a skin graft was performed the doner site is healing well but the graft site is still very sore and having dressings changed every days dad isnt convinced that the wet gauze dressings are any good which type of dressings should be being used,what types of dressings are used for skin graft sites 
282,282,bruised blood bleeding under the skin what causes the above certain pressure i applied to body leaves long lasting dark spot i,what causes bleeding under the skin 
283,283,need help i have a knot about the size of a be in my right forearm about inches from my elbow it i been there for about years and hurts sometimes mostly only notice it when i put pressure on it you can i see it but can feel it pretty good it will move about a am in any direction i went to the doctors about years ago to have it looked at but they i no xray and sa its prob a be from when i was younger it i starting to hurt more now without me putting pressure on it so i i thinking i need to have something done about it any eas on what it could be or what i should do about it,what causes lumps on the arm 
284,284,frontometaphyseal dysplasia my son has frontometaphyseal dysplasia which is listed on your site do you have any information regarding how to anyone else with this syndrome kind regards,where can i find support groups for people with frontometaphyseal dysplasia 
285,285,blood sugar levels and parkinson i i i wondering if there is a correlation between blood sugar level i and how it may effect the presentation of parkinson i particularly in tremors it seems that extreme blood sugar levels would make the tremors a great deal worse and appearing none typical,is there a connection between blood sugar levels and symptoms of parkinson s disease 
286,286,hi i would like to know if the legs shortening can be done for a regular person as well to simply reduce the overall body height thank you,is leg shortening surgery performed to reduce body height 
287,287,left hip replacement surgery in i had a total left hip replacement surgery during that surgery my femur was broken two weeks later there was a a revision fine due to possible infection in that same left hip today is and my question is what should i be expected to be doing i still rely on my walker i am years young and i suffer from chronic osteoarthritis in my lower extremities which is the reason for hip replacement at such an earlier,what is the recovery time and expected activities for hip replacement surgery and a broken femur 
288,288,shingles i have had shingles for over years and have been working with my physician using i cain and lyrics even with these it i painful particularly in my house and some rooms in the building where i work i experience this during and immediately after these rooms are been cleaned with detergents is this my imagination or there is a connection between certain detergents and pain with shingles,do detergents exacerbate shingles pain 
289,289,clinicaltrials gov question general information i have parlor cyst disease but most are in thoracic of spine i had one at i drained in i have noticed there are several i for the cyst and not much on of mine have become painful any time i must use arms in motion many does don i have clue if i show up at er i have fibromyalgia and cos but indecision to not take pain meds has limited my function when cyst become symptomatic i hear non operable do geranium is do but rarely get help on pain or referred,what are tarlov cysts of the spine and how are they treated 
290,290,i have painful sores around my genitals what could be i realy need an answer urgently or to talk to one of your consultants,what causes genital sores 
291,291,vasospastic angina can arteries in any part of the body spasm or is this only possible with coronary arteries if so does someone with vasospastic angina have a greater chance of developing spasms elsewhere in the body and is the treatment the same,what are the causes of and treatment for artery spasms 
292,292,hi team i am writing mail because of my father have experienced a loss of speaking volume loss speaking sound for the last couple of months we consult two doctors and they sa to speak with low voice please let me advice what can we do to resolve the problem regards,what are the treatments for loss of voice 
293,293,clinicaltrials gov question specific study dental sjogrens because of sjogrens my teeth have decayed severely in the past years i have a few teeth that have not decayed it is devastating what should i do implants or dentures what about funds help,what teeth replacements are better for sjogren s implants or dentures 
294,294,please help me i have been dealing with undiagnosed issues it started years ago as nausea and dull achy pain doctors dec ed to remove my gallbladder even though it only had scarring since the surgery i have had a sharp stabbing random pain in that area and around it i also get dull crampy pain finally the surgeon ordered a it scan because the pain is so bad his nurse called and sa everything was fine so i went to my primary who noticed that i have ascites on my liver my i e is slightly bloated was not before and i am scared because i don i know what i i supposed to do no one will help me and i do not want to be on pain meds my whole life please let me know your thoughts or gu e me in the direction i need please i live in south carolina i dont know why when i made my email it had the co uk,what are the treatments for ascites 
295,295,tick bites my husband was diagnosed with rocky mountain spotted fever about years ago then about years ago he was diagnosed with lyme disease with him having had both what dam if any to his body could possibly happen he has had alot of medical problems since now has been diagnosed with type ii diabetes,what is the prognosis for rocky mountain spotted fever and lyme disease 
296,296,hi i i looking to purchase ep dermal growth factor to use topically in skin care creams do you sell it and if so how can i learn about this if you don i can you give any suggestions of who might any information you can prov e would be greatly appreciated thank you,where can i buy epidermal growth factor cream 
297,297,diphtheria is there a definitive history of diphtheria in the united states available in print i have read quite a few articles in the nom from the the century and i i like to find an overview of this disease particularly a history of ep emits in the u i any help you can prov e would be greatly appreciated thank you i i,where can i find a definitive book on diptheria in the united states 
298,298,my left hand has not been moving like it should i have had three neck surgeries and now my left hand no longer works my arm itself seems to be having more pain the pain will go up into my neck and my upper back i do not know what to do or where to go i am a year old woman please let me know what to do,what are the treatments for arm and neck pain 
299,299,hello i suspect my son has cushing i syndrome his recent u creatinine excretion he urine test showed i nol i the lab range for normal is i suspect this may be the result of muscle waste can you please tell me what this measure means in terms of the scale of the result what does this difference represent and what can be expected as a result also how can we determine whether it is muscle waste that is the issue please help,how do i interpret the high results of a creatinine hour urine test and how is muscle waste diagnosed 
300,300,adenoma carcinoma pancreatic patient year without any other disorder has now diagnose sol adenocarcinoma with hear metastases is possible treatment wit oncolytic virus with gemcitabine who and where make it,what are the treatments for pancreatic adenocarcinoma 
301,301,good day at the of ive started swelling for about a week now its my whole body especially legs and feet im using artista but not sure if its helping please advise its so frustrating i cant get into any clothes,what are the causes of and treatments for legand body swelling 
302,302,generic estradiol patch i now use estradiol climate to patch i it causes a rash under the ring of adhesive which the ville dot patches i i i used previously and was not generic i not is there another generic estradiol patch gel or cream i could use,what generic options are avilable for estradiol in patch gel or cream form 
303,303,fever in babies my month old has a fever of what can i do to bring down her fever and should i take her to the er if her fever is this high,what are the treatments for fever in an infant and when should we go to the er 
304,304,what should i do for my excess hair growth hair growth on legs they appear when i took oral contraceptive only two time but the excess hairs on legs are appeared since last year after heavy itching on legs what diagnosis should i do,what causes excess haur growth on the legs and what are the treatments 
305,305,genetic beriberi is it true that wet and dry beriberi usually occur in the same patient,can wet beriberi and dry beriberi occur in the same person 
306,306,sexual dysfunction dear doctor i am male of years and facing problem of sexual weakness erection is ok once my penis stand up and after some seconds its become down like dead i also feel size is also came down i am worried kindly suggest me a medicine for such decease i shall be very great full to you regards,what are the treatments for erectile dysfunction 
307,307,i have hepatic liver disease i am a white mail years of i was a social drinker with a tendency to drink more than less most people i asked sa i was a controlled drinker i had bad eating habits most of the time this disease hit me fast and hard with no working about percent of what your information sa was true after my tips procedure i have gone from a walking skeleton of pounds to now pounds about pounds a month to i am swimming up to a mile or time a week my bigest problem is cronin body aks and pain in the joints and insomnia sometimes going days without sleep the drugs the dry had me on never worked so i quit and am eating organic foods when i can and taking natural supplements what cane i do for the pain and sleepless nights please help me if you can i have great insurance to get the help i need content part boundary,what are the treatments for pain and insomnia associated with hepatic disease 
308,308,was giving pudding loaded with stern i i am allergic to stern i need to know way to flush system of them since they attack organs like poison,how can i flush steriods from my system 
309,309,skin rash petechiae yesterday i noticed a large cluster of pinprick red spots underneath my chin not on my neck recently i have been self induced vomiting i know that petechiae can be caused by vomiting but would this cause it to be underneath the chin,can vomiting cause petechiae on the chin 
310,310,right arm shoulder pain from top to bottom hi i am having an younger sister who is suffering from severe pain of right shoulder from days the pain comes from right ear to right arm fingers and she was unable to lift a simple spoon or plate hence i request you to suggest me good medicine or treatment for this pain,what are the causes and treatments for irradiating right shoulder pain and weakness in the arm 
311,311,dear sir i was affected on trichoepithilioma in my nose on yrs i consult the multiple doctorate skin specialists but no one can do cure that,what are the treatments for trichoepithilioma 
312,312,i have had roulette syndrome since seven recently at the of i had an implantation of a shunt for hydrocephalus what is the probability of one having both hydrocephalus and roulette syndrome is there any ev ence that indicates that the head and neck tics of roulette syndrome may be a cause of hydrocephalus,is there a connection between tourette syndrome and hydrocephalus 
313,313,complex regional pain syndrome cops or regional sympathetic dystrophy red i have searched your i i and website for information on this medical condition but found nothing i know there i not a lot of research on this but i i pretty certain that my father had it in his legs and now i do to is there any ev ence this condition is genetic or is it an unknown at this time thanks,what causes complex regional pain syndrome 
314,314,are there any gu lines to tell how quickly humalog becomes active after injection i believe it remains active for about hours is this reasonable,how long does it take for humalog to start working and how long does it last 
315,315,diabetes type i test before going to bed and the reading is but when i test again in the morning the reading is how can i lower it i eat dinner around am and nothing until the next morning,what affects glucose levels at night and how can i lower it 
316,316,glucosamine with prof treatment i have just finished my third session of prof treatment plasma rich in growth factors for osteoarthritis condropathia in my knee would it be commendable to also take glucosamine or would it be counterindicative if so is there any specific type or combination of glucosamine that would be best for me i am a year old male very active especialy playing tennis and skiing activities which i hope to eturn to very soon hank you for any information you can prov e valencia spain,are there any contraindications to taking glucosamine in addition to prgf treatment for knee osteoarthritis and chondropathia 
317,317,my urea is showing is it dangerous if it is dangerous now what i have to do my uric ac is also showing is it dangerous and how i will cover it up,what are the normal ranges for urea and uric acid and what are the treatments for high levels of urea and uric acid 
318,318,vaginal yeast infection hey my is last night my vaginal area was itching but i i i i think to much of it well when i woke up this morning it started itching out of control i don i see discharge coming from the vaginal area now i do use summer i eve vaginal spray i don i know if it is a vaginal yeast infection or not but how should i go about this process,what causes vaginal itching and what are the treatments 
319,319,bleeding gums my brother has denture the lower denture hurts his gum and it makes it bleed and his gum is sore were he has a hard time to chew anything he needs to know what can he do for it,what are the treatments for bleeding gums under dentures 
320,320,nifedipine hi i have been taking nifedipine for about years but only take it in the winter i take it to treat my rayna's syndrome during winter when i take the nifedipine i have regular nose bleeds that last up to mins i want to find out if this relates to the medication i am taking thanks for any help you can prov e,are nosebleeds a side effect of nifedipine 
321,321,mefloquine hel my daughter i pediatrician prescribed of a my tablet once a week based on insurance i could only get tablet for a day supply the pediatrician thought the remaining of the tablet must be discarded once it was exposed to air but the pharmacist had not heard this i read through your literature on the drug and also i not see this warning can we use the remaining of the tablet on additional weeks as long as it is kept at the correct storing specifications thank you for your time,what are the storage requirements for mefloquine hcl 
322,322,lack of adhesive while i swim i weekly apply the clon ine transdermal patch medically it is effective i swim or times a week for minutes quite often the patch loses it i adhesive quality and falls off my skin what can i do to help it stick on my arm thanks,what can i do to keep the clonidine transdermal patch secure during swimming 
323,323,more info needed on polio if it was possible to get polio and not have symptoms wouldn i it be possible to get post polio syndrome today how would you get tested i think this information is needed on your site thank you,how is post polio syndrome diagnosed 
324,324,i have a question about this i help gor nom nih gov condition down syndrome i am wondering how does downs syndrome affect the daily routine of i i with downs syndrome such as using the bathroom or brushing their teeth i look forward to hearing from you thank you,how does downs syndrome affect activities of daily living 
325,325,cardiomegaly with chronic chest pain with cardiomegaly chest pain will the heart muscle continue to thicken most all the doctors have given up trying to find the cause of his pain it has changed his life he enjoys work and spending time outdoors and now he can i,what are the causes and treatments of chronic chest pain with cardiomegaly 
326,326,allergic reactions i have res i had allergic reactions my neurologist is confused to ropinirole and the neuro patch i need to know if the pramipexole made by your company has a something sulfite as a stabilizing ingredient this is what seems oddly to be causing swelling of my hands feet nose throat eyes i and tongue could i get an email or a drug pack insert so i could find out all the inactive ingredients i am desperate to find relief from this horrifying affliction i not only has the sensations in my legs but also my arms thank you for your time and information my mailing address or perhaps a voicemail,what are the inactive ingredients of pramipexole 
327,327,shoulder back and neck paid my health care prov er has done nothing for but give me shots and pain medication what can you do to stop the pain this has been going on and half years,what are the treatments of shoulder back and neck pain 
328,328,factors two and five together my brother is getting tested for factor five because his daughter was tested and sa to have factors two and five two is sa to come from her mother my question is if my brother has factor should i and my five children and grandchildren be tested thank you,what is the inheritance pattern of factor five 
329,329,it i ney failure father in law now in hospice is sweating normal,is sweating normal during stage five kidney failure 
330,330,i have been battling anal fissure for close to two years now and it has refused to heal all these while please what do you suggest i do thanks,what are the treatments for chronic anal fissure 
331,331,bendectin in i began taking bendectin for morning sickness and with each subsequent pregnancy i continued to do so my third child developed a meningioma of the brain at years old and currently my daughter years old has been diagnosed with a lesion of the brain i am justifiably concerned about my daughter i condition and wonder if i contributed to her status i am only interested in helping her and not for any litigious reason if someone also had a similar situation and was treated positively i would so appreciate knowing about it thank you and god bless,what birth defects are associated with taking bendectin during pregnancy and are there any treatments 
332,332,i i year old i i having hand and leg tremors for sometime is there any permanent treatment for this i had visited doctor they told its a parkinson desease and cannot be cured permanently could you please prov e me and opinion on this,what are the causes and treatments for tremors in year old 
333,333,drug nutrient interaction hello i am looking for a resource that describes nutrient vitamin depletion that results from specific medications hope you can help thank you,can medications cause vitamin depletion 
334,334,father suffering from ibs my father is suffering from ibs and is loosing weight day by day sometimes he even faints due to weakness he cannot digest food please help us and suggest us upon this problem,what are the treatments for ibs 
335,335,testing for cept gene i live in tennessee and am interested in being tested to see if i have cept hyperalphalipoproteinemia could you please let me know how and where i can get this test i have had the map test and i do have the lil density pattern a,where can i get genetic testing for the cetp gene 
336,336,count in the back can the count be done from the vertebra instead of the cranium my child needed a count due to the high flu pressure in the brain i need advice which method will be the best,what is the procedure for inserting a shunt to relieve high fluid pressure in the brain 
337,337,what to eat i have very bad diarrhea for last two months doctors have not found what causing it it reserve watery i need to know what i can eat and is lactase milk and cougar is ok are not,what foods should i eat when i have diarrhea 
338,338,kindly tell me the medicine of hymen bleeding i am from i lost my hymen and bleed now my marry is near in months and i am very depressed because in if tha woman not bleed on first night of marry then the husband give divorce i am very upset ply ply ply tell me the medicine which i use on first night of marry and bleed i am very thankful to u ply tell me this has been sent using mobile,is there a medication that can cause bleeding during sex 
339,339,i have a faculty member looking for some very specific information and i ve had no luck using our resources her question is how long after receiving dexamethasone my via an iv does the cortisol level drop she is studying this as it applies to breast cancer treatments any help you can prov e would be greatly appreciated thanks,what is the effect of dexamethasone on cortisol levels 
340,340,thalassemia carrier i need to ask that i in i know that my mother and father is normal or carrier i have sibling one die with beta thalassemia carrier and on normal me and my little brother doesnot have done test so i need to know how much chance is for me and my brother to become a carrier or normal,how is thalassemia inherited 
341,341,patient handouts are there patient handouts we can order on the topic of gum periodontal disease if so how can we order some,where can i find patient handouts on gum periodontal disease 
342,342,morgellons disease it appears as if i have had this horrible disease for many many years and it is getting worst i am trying to find a physician or specialist in the south carolina area who can treat me for this medical mental disease it seems as if this disease has no complete treatment and it is more least a disability,what are the treatments for morgellon disease and how can i find physician s in south carolina who specialize in it 
343,343,peonies disease questions dear sir madam my is i am years old and i live in i have a couple of questions about peonies disease i have recently discovered about this sad or should i call it a disease and i noticed that i also have a bent penis but none of the following points which are on the peonies i match my penis ofcourse bes es the bend so i was wondering is it also possible to get a bent penis just from masturbation because if that is so then i may know where the problem lies with me i may have to switch hands then i hope you can answer my questions hope to hear from you soon,what causes a bent penis 
344,344,effective exercise to counter sarcopenia i would like information on timing and exercises that counter sarcopenia should exercise take place at a particular time of the day several times in the day what types of exercise are most effective to maintain strength as i get older i am now and even thought i swim daily and do a variety of resistance exercises i still find that i am losing strength and tiring easily,what is the best exercise regimen for sarcopenia 
345,345,staph treatment gud day please ham having staphylococcus and i need drugs to take and your advice my result show quit scanty quit i all be expecting your reply thank you and god bless you,what are the treatments for staphylococcus 
346,346,azithromycin my gluten hello can you please tell me if your azithromycin my tabs are gluten free thank you,what are the ingredients of azithromycin and is it gluten free 
347,347,use of spacer with inhaler warning sound i ve just read the instructions for using a spacer with my symbiont inhaler what if i breathe in according to directions and there is a warning whistle or sound what am i doing incorrectly,how do i use a spacer with the symbicort inhaler 
348,348,dna i know or think i know that random mutations can change human dna can environment change dna,what are the effects of environmental factors on dna 
349,349,i am going to start the latest treatment for hep i i just received the results from my recent blood test results which says that i have a higher than normal alkaline phosphatase is there some type of drug to correct it or is it norman will i receive permanent horrible results is there some kind of drug or vitamin that i need less of or change of blood work i do take capital and risperdol bes es little normal ones i have brain dam can i still get treated to loose hep i,should high alkaline phosphatase be treated and can i start treatment for hepatitis c 
350,350,hantavirus virus if the urine and feces are old droppings years better and never cleaned can the virus still be passed from old droppings and maybe dried urine that cant be seen,can hantavirus be spread by old droppings and urine 
351,351,chlamydia if my test comes back positive for this do is it possible that it made my face break out,what are the symptoms of chlamydia 
352,352,clinicaltrials gov question specific study i am years of i have had shingles since i was just years i have had them over times in my life i am also allergic to penicillin and valter most antibiotics and most pain pills i have now began having seizures for last year and half i have had testing done waiting on some results right now any suggestions,what is the latest research on treatment for shingles 
353,353,generalized tonic clonic seizure if a person is not got any seizure attack for five years from last episode it will be treated as cured or otherwise kindly let me know after how many days years it will be treated as cured,can epilepsy be cured 
354,354,bathing can i go in tub pool or shower while wearing the i cocaine patch if not can i take off the patch or and put a new one on in a different area for the remainder of the he on period,can the lidocaine patch get wet or be replaced after getting wet 
355,355,tamoxifen i have been taking tamoxifen for a little over years i have had many i e effects discharge hot flashes dizziness and for the last months bone pain if i go off tamoxifen how long does it normally take for i e effects to disappear i am years old active,how long do side effects of tamoifen last after stopping the drug 
356,356,periventricular heterotopic i have a years old boy that was diagnose with periventricular heterotopic and long time ago i read something that say that the most someone last with that syndrome is years is that true and do you know about someone interested in wanting to do research about it i will like to learn more about it but theres not much information,where can i find information on periventricular heterotopia including prognosis 
357,357,can i find doctor hello looking at your site it sa that it had doctors that treated rich rhino phalangeal syndrome i looked in the directory but could not find anyone am i looking in the right place is it under something else if you could please help me that would be great,how can i find physician s who specialize in trichorhinophalangeal syndrome 
358,358,instructions i purchased oh test strips and after receiving them i saw that there were no instructions included i don i know how to use them and need some help with that could you please explain how to use them thank you,how do i use ph test strips 
359,359,jaundice can older infants get jaundice what is the range,can older infants get jaundice 
360,360,chromosome chromosome found in the bloods between the father and son would this mean that my son i blood is not the same as mine i was told it was all about learning problems but i am woried that theres more involved can you send me a chart or some thing describing oh is all about and too what area of the body its being tested on epically a year old child thanks,what health conditions are associated with changes in chromosome 
361,361,possible metoclopram e i e effects i started taking thismedication two tablets by mouth twice daily i have now developed mouth sores on the ins e of my lower lip almost at the bottom could these be a i e of effect of this medicine,are mouth sores a side effect of metoclopramide 
362,362,osteogenesis imperfecta is it possible to take out whatever causes this disease out of a persons gene to stop this in my family,how is osteogenesis imperfecta inherited and is it possible to stop it 
363,363,how to breathe dear sirs this may seem like a stup question but here goes anyway i am yrs old and a type ii diabetic i walk frequently to stay fairly fit but always seem to get out of breath when going up even gentle hills today however i noticed that i could change how i breath thus i could force air out using my diaphragm ie like blowing out a candle then relax and just let the air flow back in or i could use my diaphragm to suck in air like breathing in the morning air and again relax my diaphragm to push it out i also found that i could breath faster under conscious control which seemd to help my performance i dont know if any of this makes sense to you but i would like to know what you think and whether there are any do i and dont i and if there is a better way to breath thanks very much for your help with this regards,what are techniques for proper breathing 
364,364,metastatic malignant melanoma i ve got skin cancer and i want this treatment but abcs tense is it possible that taking this medication,what are the treatments for metastatic malignant melanoma 
365,365,undescended testis hello sir i am a young man of i was born with a problem of descended testis to this i have always experience one of them go down to the real position at times and then run back to the abdomen but of recent it stopped going down please sir i will like to know what my situation is and is there a remedy for it thanks an i wait for your reply,what are the treatments for undescended testicles 
366,366,responsible for the research on stem cells and tissue regeneration dear colleague good day my is doctor i was affected by a bladder cancer where the removal of the organ was needed i read about the work of his lab and i wonder if there is interest or any possibility of using pluripotent stem cells redo a piece of fabric of my bladder for so i can do a transplant with acellular matrix and repopulate this matrix with these modified stem cells i i using bicker which depress me i lost my self esteem lost quality of life and already thought to suit e until that came the hope that transplantation of acellular matrix i am looking forward to answer anxious and carefully cry i just can not understand the difficulty in finding a laboratory or institution that can solve this problem as the peritoneal layer of the bladder peritoneum is i already own the inner layer is smooth muscle which can also be acquired via endoscopic biopsy of the stomach or a arterial tissue and the layer it is coated internally by internal polymorphic or transitional epithelium which can be acquired from another organ it would just replicate small pieces so that after implanted in the acellular scaffold covered,what is the latest research on using pluripotent stem cells and acellular matrix for bladder regeneration 
367,367,my husband and i have a four month old baby boy he like all other babies like to scratch their faces and heads with their finger nails we were wondering if it would be ok or dangerous to use extra strength benadryl gel on his face and head when he i asleep it looks really bad on his face we don i know what else to do for it to go away please email me back as soon as possible thank you my mars,can benadryl gel or something else be used for scratches on baby s face 
368,368,operation for pectus excavated dear medical doctors good day we are a res ent of previously affected with super typhoon saiyan we have noticed with our nephew who is yrs old now that his breast is not normal the same with the other nephew that we have having the same as we start to consult our physician i in they told us that it is just normal however we are worried because as we can it is a symptom of pectus excavated we want to know from you the details what to do if we want our nephew to undergo this kind of operation to correct the ribs in his breast pectus excavated hope to hear from you thank you very much,whare can i find information on surgery for pectus excavatum 
369,369,finest e and pregnancy my wife is pregnant she is in week of pregnancy now i am going to consume finest e my for my hair loss is it dangerous for pregnancy for my wife and her fetus i use condom when i have sex with my wife please answer me can finest e shift to mothers body by my sweat skin please answer me thank you,can finasteride be transmitted via bodily fluid or skin contact 
370,370,how do i know if the cause why my penis i i i growth up to a normal penis size was because of ich and how can i have a treatment with hug where can i get the injections,what are the tratments for small penis size and where can i get the treatments 
371,371,nutcracker patient i was diagnosed with nos about yrs ago but little was known about it at the time they sa i needed surgery but refused due to the fact i i i i have any money it has been left untreated all this time and is feeling worse what can i do to get help with this i am pleading for help thank you,what are the treatments for nutcracker syndrome 
372,372,iv ringers lactate i received slushy ringers lactate from our supplier due to the bitter cold in wisconsin if i allow these flu i to thaw at room temperature will i be able to use them for iv therapy,can ringers lactate be used after freezing 
373,373,loss of ability to taste and smell due to surgery that cut olfactory nerve can you recommend a group to help a patient who has lost ability to taste and small and who is profoundly depressed has lost enormous amount of weight has no interest in food and is virtually not eating has no energy and i am afra he will die of starvation if he does not get some help the various doctors involved are not helping he needs to think of food as medicine he must eat but hardly does have you any suggestions,how can i locate a support group for patients with taste and smell disorders 
374,374,low levels of lip i may predict dementia ok i understand your reticence to list unconfirmed trigger lip i however i am a trained scientist who i years old so i don i really have time to wait for confirmatory tests to be run on several i more old coots so que tion what no the hell precisely are the lip i in question i would then plan to have myself checked for those lip i,what are the ten lipids that can predict dementia 
375,375,treatment paralysis i have one left i e leg is paralysis last years my other parts of the body is well it is possible my leg will good for treatment if possible how can i do the treatment and where thanks,what are the treatments for leg paralysis 
